ID,Seed,ID,FF weight sparsity,Activation sparsity,Num segments,Accuracy,std
kw_sparsity_search kw_percent_on=0.01,147,1,0.5,0.01,10,0.931719958782196,
kw_sparsity_search kw_percent_on=0.01,1736,1,0.5,0.01,10,0.9332599639892578,
kw_sparsity_search kw_percent_on=0.01,2134,1,0.5,0.01,10,0.9381099939346313,
kw_sparsity_search kw_percent_on=0.01,2419,1,0.5,0.01,10,0.9310199618339539,
kw_sparsity_search kw_percent_on=0.01,3717,1,0.5,0.01,10,0.931369960308075,
kw_sparsity_search kw_percent_on=0.01,4561,1,0.5,0.01,10,0.9350099563598633,
kw_sparsity_search kw_percent_on=0.01,7172,1,0.5,0.01,10,0.9365999698638916,
kw_sparsity_search kw_percent_on=0.01,7345,1,0.5,0.01,10,0.9365699887275696,
kw_sparsity_search kw_percent_on=0.01,8382,1,0.5,0.01,10,0.9322499632835388,
kw_sparsity_search kw_percent_on=0.01,9326,1,0.5,0.01,10,0.9351199865341187,
kw_sparsity_search kw_percent_on=0.05,684,1,0.5,0.05,10,0.9465899467468262,
kw_sparsity_search kw_percent_on=0.05,1225,1,0.5,0.05,10,0.9509499669075012,
kw_sparsity_search kw_percent_on=0.05,1348,1,0.5,0.05,10,0.9478399753570557,
kw_sparsity_search kw_percent_on=0.05,1575,1,0.5,0.05,10,0.9534800052642822,
kw_sparsity_search kw_percent_on=0.05,3197,1,0.5,0.05,10,0.948449969291687,
kw_sparsity_search kw_percent_on=0.05,3943,1,0.5,0.05,10,0.9452899694442749,
kw_sparsity_search kw_percent_on=0.05,4936,1,0.5,0.05,10,0.9497299790382385,
kw_sparsity_search kw_percent_on=0.05,6848,1,0.5,0.05,10,0.949459969997406,
kw_sparsity_search kw_percent_on=0.05,7453,1,0.5,0.05,10,0.947659969329834,
kw_sparsity_search kw_percent_on=0.05,8084,1,0.5,0.05,10,0.9501899480819702,
kw_sparsity_search kw_percent_on=0.1,1925,1,0.5,0.1,10,0.9419399499893188,
kw_sparsity_search kw_percent_on=0.1,2135,1,0.5,0.1,10,0.9470099806785583,
kw_sparsity_search kw_percent_on=0.1,2497,1,0.5,0.1,10,0.9426599740982056,
kw_sparsity_search kw_percent_on=0.1,2580,1,0.5,0.1,10,0.9435199499130249,
kw_sparsity_search kw_percent_on=0.1,2942,1,0.5,0.1,10,0.9464799761772156,
kw_sparsity_search kw_percent_on=0.1,3465,1,0.5,0.1,10,0.9396399855613708,
kw_sparsity_search kw_percent_on=0.1,3553,1,0.5,0.1,10,0.937209963798523,
kw_sparsity_search kw_percent_on=0.1,3784,1,0.5,0.1,10,0.9462399482727051,
kw_sparsity_search kw_percent_on=0.1,6199,1,0.5,0.1,10,0.9391999840736389,
kw_sparsity_search kw_percent_on=0.1,9026,1,0.5,0.1,10,0.9452199935913086,
kw_sparsity_search kw_percent_on=0.2,181,1,0.5,0.2,10,0.9041799902915955,
kw_sparsity_search kw_percent_on=0.2,1906,1,0.5,0.2,10,0.9059299826622009,
kw_sparsity_search kw_percent_on=0.2,2163,1,0.5,0.2,10,0.9061399698257446,
kw_sparsity_search kw_percent_on=0.2,6451,1,0.5,0.2,10,0.9048399925231934,
kw_sparsity_search kw_percent_on=0.2,6566,1,0.5,0.2,10,0.903659999370575,
kw_sparsity_search kw_percent_on=0.2,6625,1,0.5,0.2,10,0.8854299783706665,
kw_sparsity_search kw_percent_on=0.2,7214,1,0.5,0.2,10,0.8941999673843384,
kw_sparsity_search kw_percent_on=0.2,7608,1,0.5,0.2,10,0.9039499759674072,
kw_sparsity_search kw_percent_on=0.2,8612,1,0.5,0.2,10,0.8995399475097656,
kw_sparsity_search kw_percent_on=0.2,9265,1,0.5,0.2,10,0.9061299562454224,
kw_sparsity_search kw_percent_on=0.4,317,1,0.5,0.4,10,0.7663499712944031,
kw_sparsity_search kw_percent_on=0.4,2086,1,0.5,0.4,10,0.7692300081253052,
kw_sparsity_search kw_percent_on=0.4,2218,1,0.5,0.4,10,0.764710009098053,
kw_sparsity_search kw_percent_on=0.4,2514,1,0.5,0.4,10,0.765779972076416,
kw_sparsity_search kw_percent_on=0.4,2774,1,0.5,0.4,10,0.7673499584197998,
kw_sparsity_search kw_percent_on=0.4,3356,1,0.5,0.4,10,0.750469982624054,
kw_sparsity_search kw_percent_on=0.4,3546,1,0.5,0.4,10,0.7709599733352661,
kw_sparsity_search kw_percent_on=0.4,6553,1,0.5,0.4,10,0.7428699731826782,
kw_sparsity_search kw_percent_on=0.4,6968,1,0.5,0.4,10,0.7561500072479248,
kw_sparsity_search kw_percent_on=0.4,8664,1,0.5,0.4,10,0.7469799518585205,
kw_sparsity_search kw_percent_on=0.6,86,1,0.5,0.6,10,0.7425599694252014,
kw_sparsity_search kw_percent_on=0.6,905,1,0.5,0.6,10,0.7350499629974365,
kw_sparsity_search kw_percent_on=0.6,2874,1,0.5,0.6,10,0.7318300008773804,
kw_sparsity_search kw_percent_on=0.6,3186,1,0.5,0.6,10,0.6990999579429626,
kw_sparsity_search kw_percent_on=0.6,7314,1,0.5,0.6,10,0.7272299528121948,
kw_sparsity_search kw_percent_on=0.6,8296,1,0.5,0.6,10,0.7193899750709534,
kw_sparsity_search kw_percent_on=0.6,8938,1,0.5,0.6,10,0.7340499758720398,
kw_sparsity_search kw_percent_on=0.6,9108,1,0.5,0.6,10,0.737339973449707,
kw_sparsity_search kw_percent_on=0.6,9417,1,0.5,0.6,10,0.7554299831390381,
kw_sparsity_search kw_percent_on=0.6,9723,1,0.5,0.6,10,0.7325499653816223,
kw_sparsity_search kw_percent_on=0.8,1859,1,0.5,0.8,10,0.73676997423172,
kw_sparsity_search kw_percent_on=0.8,2434,1,0.5,0.8,10,0.7409600019454956,
kw_sparsity_search kw_percent_on=0.8,2925,1,0.5,0.8,10,0.743209958076477,
kw_sparsity_search kw_percent_on=0.8,3433,1,0.5,0.8,10,0.753309965133667,
kw_sparsity_search kw_percent_on=0.8,3551,1,0.5,0.8,10,0.7522199749946594,
kw_sparsity_search kw_percent_on=0.8,4375,1,0.5,0.8,10,0.7210599780082703,
kw_sparsity_search kw_percent_on=0.8,6332,1,0.5,0.8,10,0.7428999543190002,
kw_sparsity_search kw_percent_on=0.8,6698,1,0.5,0.8,10,0.7368099689483643,
kw_sparsity_search kw_percent_on=0.8,7828,1,0.5,0.8,10,0.7339699864387512,
kw_sparsity_search kw_percent_on=0.8,8381,1,0.5,0.8,10,0.7302199602127075,
kw_sparsity_search kw_percent_on=0.9,730,1,0.5,0.9,10,0.6950500011444092,
kw_sparsity_search kw_percent_on=0.9,1087,1,0.5,0.9,10,0.6875099539756775,
kw_sparsity_search kw_percent_on=0.9,1194,1,0.5,0.9,10,0.706339955329895,
kw_sparsity_search kw_percent_on=0.9,2322,1,0.5,0.9,10,0.6751700043678284,
kw_sparsity_search kw_percent_on=0.9,2781,1,0.5,0.9,10,0.6922799944877625,
kw_sparsity_search kw_percent_on=0.9,3499,1,0.5,0.9,10,0.7074499726295471,
kw_sparsity_search kw_percent_on=0.9,6771,1,0.5,0.9,10,0.6872999668121338,
kw_sparsity_search kw_percent_on=0.9,6880,1,0.5,0.9,10,0.7080699801445007,
kw_sparsity_search kw_percent_on=0.9,7416,1,0.5,0.9,10,0.703499972820282,
kw_sparsity_search kw_percent_on=0.9,8486,1,0.5,0.9,10,0.7019099593162537,
kw_sparsity_search kw_percent_on=0.99,147,1,0.5,0.99,10,0.5840199589729309,
kw_sparsity_search kw_percent_on=0.99,236,1,0.5,0.99,10,0.5628100037574768,
kw_sparsity_search kw_percent_on=0.99,707,1,0.5,0.99,10,0.5730899572372437,
kw_sparsity_search kw_percent_on=0.99,1672,1,0.5,0.99,10,0.5563799738883972,
kw_sparsity_search kw_percent_on=0.99,2084,1,0.5,0.99,10,0.5833399891853333,
kw_sparsity_search kw_percent_on=0.99,3006,1,0.5,0.99,10,0.5818899869918823,
kw_sparsity_search kw_percent_on=0.99,4817,1,0.5,0.99,10,0.546180009841919,
kw_sparsity_search kw_percent_on=0.99,8040,1,0.5,0.99,10,0.5676800012588501,
kw_sparsity_search kw_percent_on=0.99,8610,1,0.5,0.99,10,0.5666199922561646,
kw_sparsity_search kw_percent_on=0.99,9148,1,0.5,0.99,10,0.5902199745178223,
